unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1626271200000,2021-07-14 14:00:00,BTC/USDT,32784.00000000,32959.21000000,32700.00000000,32863.07000000,2699.26753100,88626745.38646324,62393
1626274800000,2021-07-14 15:00:00,BTC/USDT,32863.07000000,32938.99000000,32733.83000000,32786.00000000,1800.05329800,59072337.39634864,44178
1626278400000,2021-07-14 16:00:00,BTC/USDT,32786.01000000,32902.89000000,32665.14000000,32833.88000000,1468.24741200,48161183.41246613,34302
1626282000000,2021-07-14 17:00:00,BTC/USDT,32838.26000000,32911.79000000,32774.99000000,32832.99000000,1049.67713900,34472590.29824705,25545
1626285600000,2021-07-14 18:00:00,BTC/USDT,32832.99000000,33114.03000000,32671.03000000,32743.96000000,2197.27462900,72306459.76871455,55433
1626289200000,2021-07-14 19:00:00,BTC/USDT,32743.96000000,32798.62000000,32564.44000000,32729.76000000,1277.37420800,41774314.29783700,46916
1626292800000,2021-07-14 20:00:00,BTC/USDT,32729.77000000,32869.58000000,32708.00000000,32800.41000000,875.49194200,28715120.70110699,22900
1626296400000,2021-07-14 21:00:00,BTC/USDT,32800.41000000,32940.00000000,32800.40000000,32852.23000000,904.31194500,29719647.53347430,36317
1626300000000,2021-07-14 22:00:00,BTC/USDT,32852.24000000,33063.82000000,32739.28000000,32959.96000000,1238.84983600,40790586.49383600,31664
1626303600000,2021-07-14 23:00:00,BTC/USDT,32959.97000000,32974.44000000,32681.00000000,32820.02000000,1046.75543100,34350955.21894088,24603
1626307200000,2021-07-15 00:00:00,BTC/USDT,32820.03000000,33046.86000000,32651.26000000,32951.87000000,1417.22692200,46577856.42378077,33122
1626310800000,2021-07-15 01:00:00,BTC/USDT,32952.60000000,33185.25000000,32762.50000000,32784.33000000,2033.69953200,67103057.03883283,54505
1626314400000,2021-07-15 02:00:00,BTC/USDT,32784.33000000,32911.03000000,32690.59000000,32760.00000000,1375.09588100,45094892.64403783,28721
1626318000000,2021-07-15 03:00:00,BTC/USDT,32760.00000000,32785.23000000,32580.12000000,32641.65000000,1322.78093900,43261536.09003599,25536
1626321600000,2021-07-15 04:00:00,BTC/USDT,32641.66000000,32691.42000000,32441.86000000,32665.53000000,1706.06456200,55544426.43891905,66033
1626325200000,2021-07-15 05:00:00,BTC/USDT,32665.53000000,32665.53000000,32473.72000000,32583.90000000,923.63949800,30089185.37409280,63491
1626328800000,2021-07-15 06:00:00,BTC/USDT,32582.71000000,32650.00000000,32366.12000000,32483.00000000,1404.62899300,45671242.18805406,34455
1626332400000,2021-07-15 07:00:00,BTC/USDT,32483.00000000,32600.00000000,32359.65000000,32469.50000000,1675.70379200,54401098.87431377,31318
1626336000000,2021-07-15 08:00:00,BTC/USDT,32468.30000000,32551.99000000,32316.45000000,32376.51000000,1977.11793000,64115212.03258455,38713
1626339600000,2021-07-15 09:00:00,BTC/USDT,32376.50000000,32620.31000000,32332.54000000,32505.00000000,1945.90866200,63224540.13402549,38062
1626343200000,2021-07-15 10:00:00,BTC/USDT,32505.00000000,32579.33000000,31816.06000000,31866.76000000,4565.89506800,146715857.80070165,83449
1626346800000,2021-07-15 11:00:00,BTC/USDT,31866.76000000,31992.58000000,31800.00000000,31880.50000000,2077.28931500,66262611.27260015,43361
