unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1628492400000,2021-08-09 07:00:00,BTC/USDT,43473.99000000,43845.39000000,43360.53000000,43800.74000000,1734.25151000,75584910.49530333,45775
1628496000000,2021-08-09 08:00:00,BTC/USDT,43800.74000000,43900.00000000,43600.92000000,43717.14000000,1940.53537900,84897980.63875104,61120
1628499600000,2021-08-09 09:00:00,BTC/USDT,43720.00000000,45011.63000000,43656.20000000,44855.11000000,5561.59074800,247653281.28797374,174417
1628503200000,2021-08-09 10:00:00,BTC/USDT,44855.11000000,45700.00000000,44744.18000000,45646.63000000,6717.40317700,303990545.57438240,162078
1628506800000,2021-08-09 11:00:00,BTC/USDT,45646.63000000,46048.50000000,45474.37000000,45930.01000000,5031.82557700,230105019.85388335,147404
1628510400000,2021-08-09 12:00:00,BTC/USDT,45930.01000000,46028.79000000,45544.18000000,45675.34000000,3200.09151600,146318811.87666378,116179
1628514000000,2021-08-09 13:00:00,BTC/USDT,45675.34000000,45904.28000000,45254.11000000,45396.01000000,3106.82624000,141758417.74202757,77254
1628517600000,2021-08-09 14:00:00,BTC/USDT,45396.00000000,46250.00000000,45373.50000000,45617.54000000,5672.63058300,260072175.58830186,145820
1628521200000,2021-08-09 15:00:00,BTC/USDT,45617.53000000,46018.00000000,45611.80000000,45870.75000000,3078.19523800,141300182.59608619,73714
1628524800000,2021-08-09 16:00:00,BTC/USDT,45870.76000000,46143.11000000,45671.24000000,45889.96000000,2503.58806900,114879526.10311771,112998
1628528400000,2021-08-09 17:00:00,BTC/USDT,45889.96000000,46029.19000000,45767.25000000,45833.41000000,1432.89831000,65703917.29008268,43724
1628532000000,2021-08-09 18:00:00,BTC/USDT,45833.40000000,46454.15000000,45826.45000000,46193.99000000,3858.21024100,178243052.00011622,93020
1628535600000,2021-08-09 19:00:00,BTC/USDT,46193.99000000,46400.00000000,45814.52000000,45979.85000000,2602.09873400,120052742.02819081,65780
1628539200000,2021-08-09 20:00:00,BTC/USDT,45981.05000000,46401.97000000,45422.00000000,45459.36000000,4457.68855600,204438693.25869527,131264
1628542800000,2021-08-09 21:00:00,BTC/USDT,45459.35000000,46041.06000000,44900.00000000,45716.07000000,4861.38489100,220780498.49192600,201574
1628546400000,2021-08-09 22:00:00,BTC/USDT,45716.06000000,46317.29000000,45676.00000000,46243.85000000,2036.91457200,93671437.80232638,73688
1628550000000,2021-08-09 23:00:00,BTC/USDT,46243.85000000,46412.99000000,46050.00000000,46253.40000000,2009.20184100,92923571.04814913,51746
1628553600000,2021-08-10 00:00:00,BTC/USDT,46248.87000000,46700.00000000,45703.43000000,45966.40000000,4222.13435500,195058748.15347400,98245
1628557200000,2021-08-10 01:00:00,BTC/USDT,45966.39000000,46099.13000000,45635.34000000,46007.02000000,1589.18079400,72885257.00359365,65544
1628560800000,2021-08-10 02:00:00,BTC/USDT,46008.66000000,46123.34000000,45824.20000000,46084.39000000,1326.11536300,60970387.01959704,54917
1628564400000,2021-08-10 03:00:00,BTC/USDT,46084.39000000,46111.87000000,45629.67000000,45708.76000000,1557.21801300,71370036.64958911,94450
1628568000000,2021-08-10 04:00:00,BTC/USDT,45707.12000000,45850.00000000,45450.62000000,45459.59000000,1575.85730300,71897866.02223766,40578
1628571600000,2021-08-10 05:00:00,BTC/USDT,45459.58000000,45777.16000000,45407.22000000,45560.00000000,1464.42637400,66832442.74968361,42672
1628575200000,2021-08-10 06:00:00,BTC/USDT,45562.45000000,45706.00000000,45360.00000000,45553.98000000,1806.20973900,82186819.65681843,46344
1628578800000,2021-08-10 07:00:00,BTC/USDT,45553.98000000,46023.92000000,45300.00000000,45948.00000000,2044.47215300,93145729.36572203,65181
1628582400000,2021-08-10 08:00:00,BTC/USDT,45948.00000000,46167.43000000,45700.00000000,46134.83000000,2041.49882300,93808566.74808959,132479
1628586000000,2021-08-10 09:00:00,BTC/USDT,46134.83000000,46171.42000000,45813.61000000,45970.47000000,1649.49011800,75839325.93763577,78395
1628589600000,2021-08-10 10:00:00,BTC/USDT,45970.47000000,46030.00000000,45276.55000000,45346.37000000,3409.00226400,155387958.86240331,85640
1628593200000,2021-08-10 11:00:00,BTC/USDT,45346.37000000,45595.84000000,45192.79000000,45345.05000000,2824.84140600,128273799.05260748,75046
1628596800000,2021-08-10 12:00:00,BTC/USDT,45345.05000000,45946.00000000,45188.22000000,45914.35000000,2572.45811900,117397497.39806202,118233
1628600400000,2021-08-10 13:00:00,BTC/USDT,45914.35000000,46097.99000000,45333.33000000,45529.57000000,4670.91258200,213616503.08752084,115291
1628604000000,2021-08-10 14:00:00,BTC/USDT,45529.57000000,45666.66000000,45195.77000000,45355.07000000,2260.66390900,102634777.94112137,94901
1628607600000,2021-08-10 15:00:00,BTC/USDT,45355.07000000,45495.70000000,44856.00000000,45165.73000000,3332.67242200,150571795.58958806,165590
1628611200000,2021-08-10 16:00:00,BTC/USDT,45161.75000000,45267.59000000,44589.46000000,44793.89000000,3757.93025300,168686108.45354233,149492
1628614800000,2021-08-10 17:00:00,BTC/USDT,44793.90000000,45153.40000000,44781.48000000,45095.99000000,1672.00555900,75192936.56815118,126595
1628618400000,2021-08-10 18:00:00,BTC/USDT,45095.99000000,45375.00000000,45011.01000000,45300.95000000,1511.88812000,68298351.26121818,44907
1628622000000,2021-08-10 19:00:00,BTC/USDT,45300.95000000,45565.18000000,45250.00000000,45495.73000000,1591.36065000,72311574.80605549,44601
1628625600000,2021-08-10 20:00:00,BTC/USDT,45495.73000000,45777.51000000,45369.99000000,45626.15000000,1922.08901900,87587049.19774267,49194
1628629200000,2021-08-10 21:00:00,BTC/USDT,45626.15000000,45906.54000000,45424.54000000,45679.98000000,1865.40533100,85281570.07255614,59714
1628632800000,2021-08-10 22:00:00,BTC/USDT,45679.97000000,45877.97000000,45406.71000000,45445.05000000,1428.45569200,65181405.74704260,43858
1628636400000,2021-08-10 23:00:00,BTC/USDT,45445.04000000,45656.35000000,45233.90000000,45584.99000000,1718.35506000,78069316.58960163,59463
1628640000000,2021-08-11 00:00:00,BTC/USDT,45585.00000000,45819.51000000,45378.41000000,45731.36000000,2112.32989200,96399776.30420904,58748
1628643600000,2021-08-11 01:00:00,BTC/USDT,45731.35000000,45914.14000000,45575.67000000,45776.38000000,1535.65448000,70260462.79919144,139912
1628647200000,2021-08-11 02:00:00,BTC/USDT,45773.06000000,45996.77000000,45341.14000000,45448.01000000,1817.38645100,82992805.97804112,119060
1628650800000,2021-08-11 03:00:00,BTC/USDT,45448.00000000,45650.00000000,45382.99000000,45585.66000000,942.22874900,42897930.25911358,31776
1628654400000,2021-08-11 04:00:00,BTC/USDT,45585.66000000,45789.99000000,45434.85000000,45620.32000000,1023.53211900,46708714.40148543,37667
1628658000000,2021-08-11 05:00:00,BTC/USDT,45620.32000000,45880.56000000,45545.13000000,45800.00000000,1268.93188700,58048714.69413592,66344
1628661600000,2021-08-11 06:00:00,BTC/USDT,45800.00000000,46250.00000000,45799.99000000,46079.99000000,3202.67941900,147341108.87633495,90045
1628665200000,2021-08-11 07:00:00,BTC/USDT,46080.00000000,46433.67000000,46079.99000000,46349.25000000,3018.60389500,139789657.34168512,79702
1628668800000,2021-08-11 08:00:00,BTC/USDT,46349.26000000,46571.42000000,46000.12000000,46194.32000000,3023.69549100,139959754.41395612,79377
1628672400000,2021-08-11 09:00:00,BTC/USDT,46194.33000000,46298.64000000,46023.45000000,46108.58000000,1326.66666900,61256562.63259225,48947
1628676000000,2021-08-11 10:00:00,BTC/USDT,46108.59000000,46381.85000000,45875.21000000,46042.05000000,2236.66766600,103125501.14220888,64223
1628679600000,2021-08-11 11:00:00,BTC/USDT,46042.05000000,46249.97000000,45850.00000000,45924.08000000,1782.51303700,82063459.89364255,55048
1628683200000,2021-08-11 12:00:00,BTC/USDT,45922.33000000,46136.35000000,45800.00000000,45980.33000000,1954.23051800,89802198.81729213,84830
1628686800000,2021-08-11 13:00:00,BTC/USDT,45980.32000000,46500.00000000,45907.99000000,46268.63000000,2847.27721500,131704961.52121768,74230
1628690400000,2021-08-11 14:00:00,BTC/USDT,46268.63000000,46659.77000000,46142.26000000,46490.01000000,3856.94019500,179165827.94193186,94692
1628694000000,2021-08-11 15:00:00,BTC/USDT,46490.00000000,46743.47000000,46317.81000000,46456.02000000,3803.99913100,177219049.62226639,108570
1628697600000,2021-08-11 16:00:00,BTC/USDT,46456.91000000,46576.52000000,46205.37000000,46347.78000000,2612.22645800,121167061.86661418,69279
1628701200000,2021-08-11 17:00:00,BTC/USDT,46347.78000000,46605.84000000,46262.87000000,46522.11000000,1460.35809600,67796930.78764717,47497
1628704800000,2021-08-11 18:00:00,BTC/USDT,46522.14000000,46607.94000000,46270.01000000,46302.83000000,1506.75519500,69844431.18114075,43103
1628708400000,2021-08-11 19:00:00,BTC/USDT,46302.83000000,46485.29000000,46212.00000000,46448.00000000,1467.87990100,68024738.07016695,45982
1628712000000,2021-08-11 20:00:00,BTC/USDT,46448.01000000,46680.00000000,46307.20000000,46319.74000000,1912.22223000,88979694.44800890,55416
1628715600000,2021-08-11 21:00:00,BTC/USDT,46319.73000000,46388.62000000,45900.12000000,46334.58000000,2631.84680300,121425787.63255545,91479
1628719200000,2021-08-11 22:00:00,BTC/USDT,46334.57000000,46347.66000000,45550.00000000,45756.69000000,3489.03129200,159923577.33041939,146185
1628722800000,2021-08-11 23:00:00,BTC/USDT,45756.68000000,45914.00000000,45510.66000000,45511.00000000,1901.24518800,86890061.87683926,130813
1628726400000,2021-08-12 00:00:00,BTC/USDT,45510.67000000,45880.00000000,45392.44000000,45761.74000000,2414.29379500,110202340.68006500,103009
1628730000000,2021-08-12 01:00:00,BTC/USDT,45761.73000000,46169.69000000,45638.53000000,46000.00000000,1912.28869400,87804563.89727992,66202
1628733600000,2021-08-12 02:00:00,BTC/USDT,45999.99000000,46213.96000000,45915.29000000,46213.96000000,1325.39526700,61065478.95684625,43130
1628737200000,2021-08-12 03:00:00,BTC/USDT,46214.02000000,46218.12000000,45901.61000000,45927.00000000,1068.20140900,49241992.02475982,35510
